Ref, Tipo, Nickname, Nombre, Apellido, EMail, FechaNac, Imagen, Password
U1, T, lachiqui, Rosa María, Martínez, mirtha.legrand.ok@hotmail.com.ar, 23/02/1927, usuario/lachiquiListar.jpg, awdrg543
U2, T, isabelita, Elizabeth, Windsor, isabelita@thecrown.co.uk, 21/04/1926, usuario/isabelitaListar.jpg, r5t6y7u8
U3, T, anibal, Aníbal, Lecter, anibal@fing.edu.uy, 31/12/1937, usuario/anibalListar.jpg, edrft543
U4, T, waston, Emma, Waston, e.waston@gmail.com, 15/04/1990,  usuario/waston.jpg,poiuy987
U5, T, elelvis, Elvis, Lacio, suavemente@hotmail.com, 30/07/1971, usuario/elelvis.jpg,45idgaf67
U6, T, eleven11, Eleven, Once, eleven11@gmail.com, 19/02/2004, usuario/eleven11.jpg,xdrgb657
U7, T, bobesponja, Bob, Esponja, bobesponja@nickelodeon.com, 01/05/1999, usuario/bobesponja.jpg,sbsplol1
U8, T, tony, Antonio, Pacheco, eltony@manya.org.uy, 11/04/1976, usuario/tony.jpg,okmnji98
U9, T, chino, Álvaro, Recoba, chino@trico.org.uy, 17/03/1976, usuario/chino.jpg,qsxcdw43
U10, T, mastropiero, Johann Sebastian, Mastropiero, johann.sebastian@gmail.com, 07/02/1922, usuario/mastropiero.jpg,qpwoei586
U11, P, washington, Washington, Rocha, washington@turismorocha.gub.uy, 14/09/1970, usuario/washingtonListar.jpg, asdfg654
U12, P, eldiez, Pablo, Bengoechea, eldiez@socfomturriv.org.uy, 27/06/1965, usuario/eldiezListar.jpg, ytrewq10
U13, P, meche, Mercedes, Venn, meche@colonia.gub.uy, 31/12/1990, usuario/mecheListar.jpg, mnjkiu89
